FRED Abbreviation,Main Variable,Unit,Frequency,Source,Retrieved From,,,,,,,,,,,,,
,,,,,,,,,,,,,spx_pe,,,Monthly,Shiller's website,
,,,,,,,,,,,,,spxbubble,"Derived from bootstrapped GSADF tests (Phillips & Shi, 2018).",,Monthly,,
,,,,,,,,,,,,,T10YFFM,10-Year Treasury C Minus FEDFUNDS,Percent,Monthly,Federal Reserve Bank of St. Louis,FRED
,,,,,,,,,,,,,T1YFFM,1-Year Treasury C Minus FEDFUNDS,Percent,Monthly,Federal Reserve Bank of St. Louis,FRED
,,,,,,,,,,,,,T5YFFM,5-Year Treasury C Minus FEDFUNDS,Percent,Monthly,Federal Reserve Bank of St. Louis,FRED
,,,,,,,,,,,,,TB3MS,3-Month T-Bill,Percent,Monthly,Federal Reserve Bank of St. Louis,FRED
,,,,,,,,,,,,,TB3SMFFM,3-Month Treasury C Minus FEDFUNDS,Percent,Monthly,Federal Reserve Bank of St. Louis,FRED
,,,,,,,,,,,,,TB6MS,6-Month T-Bill,Percent,Monthly,Federal Reserve Bank of St. Louis,FRED
,,,,,,,,,,,,,TB6SMFFM,6-Month Treasury C Minus FEDFUNDS,Percent,Monthly,Federal Reserve Bank of St. Louis,FRED
,,,,,,,,,,,,,TOTRESNS,Total Reserves of Depository Institutions,$USD Billions,Monthly,Board of Governors of the Federal Reserve System (US),FRED
,,,,,,,,,,,,,UNRATE,Unemployment Rate,Percent,Monthly,U.S. Bureau of Labor Statistics,FRED
,,,,,,,,,,,,,USREC,NBER based Recession Indicators for the United States from the Period following the Peak through the Trough ,Dummy Variable,Monthly,NBER,FRED
,,,,,,,,,,,,,W068RCQ027SBEA,Government Total Expenditures,$USD Billions,Quarterly,U.S. Bureau of Economic Analysis,FRED
,,,,,,,,,,,,,WPSFD49207,Producer Price Index: Finished Goods,Index 1982=100,Monthly,U.S. Bureau of Labor Statistics,FRED
,,,,,,,,,,,,,WTISPLC,Spot Crude Oil Price: West Texas Intermediate (WTI),$USD Per barrel,Monthly,Federal Reserve Bank of St. Louis,FRED
,,,,,,,,,,,,,Y694RC1Q027SBEA,R&D Spending (GDP),$USD Billions,Quarterly,U.S. Bureau of Economic Analysis,FRED
